Artist,Hour,stage,date,id
Shygirl,02:25 - 03:25,Lotus (Primavera Bits),02.06.22,3M3wTTCDwicRubwMyHyEDy
Kareem Ali,14:00 - 15:15,Xiringuito Aperol (Primavera Bits),02.06.22,4Uhgu5miW68A3eqRl26xtf
Carista,16:45 - 18:00,Xiringuito Aperol (Primavera Bits),02.06.22,7HbRQEEsvAKurr1v8YjwzZ
Moin,21:15 - 22:00,Escenario Ouigo,02.06.22,3HKbW1X4Aj2RZU6ruh3a0e
Amaia,18:50 - 19:35,Cupra FKA Seat,03.06.22,1WLEfsQjvgtFSGkrHonzFX
Beck,20:40 - 21:40,Cupra FKA Seat,03.06.22,3vbKDsSS70ZX9D2OcvbZmS
The Strokes,23:05 - 00:35,Cupra FKA Seat,03.06.22,0epOFNiUfyON9EYx7Tpr6V
Caribou,01:45 - 03:00,Cupra FKA Seat,03.06.22,4aEnNH9PuU1HF3TsZTru54
Marina Herlop,18:00 - 18:45,Pull & Bear,03.06.22,4ZG4S6skttdVhHz08AjMhR
Parquet Courts,19:40 - 20:35,Pull & Bear,03.06.22,23NIwARd4vPbxt3wwNnJ6k
The National,21:45 - 23:00,Pull & Bear,03.06.22,2cCUtGK9sDU2EoElnk0GNB
Little Simz,00:40 - 01:40,Pull & Bear,03.06.22,6eXZu6O7nAUA5z6vLV8NKI
Georgia,16:45 - 17:30,Dice FKA Ray-Ban,03.06.22,06knYh538h5SI7OAEF8ek3
Beach Bunny,18:25 - 19:15,Dice FKA Ray-Ban,03.06.22,2vnB6tuQMaQpORiRdvXF9H
Jehnny Beth,22:15 - 23:15,Dice FKA Ray-Ban,03.06.22,2WOMBqEsllg2ICn7D2L8ta
King Gizzard & The Lizard Wizard,00:40 - 01:40,Dice FKA Ray-Ban,03.06.22,6XYvaoDGE0VmRt83Jss9Sn
Paloma Mami,03:00 - 04:00,Dice FKA Ray-Ban,03.06.22,7rOlQwf8OuFLFQp4aydjBt
Jamie xx,04:10 - 06:00,Dice FKA Ray-Ban,03.06.22,7A0awCXkE1FtSU8B0qwOJQ
Manel,17:35 - 18:20,Primavera,03.06.22,40tHhop0T30DwienQBmTxb
Weyes Blood,19:20 - 20:10,Primavera,03.06.22,3Uqu1mEdkUJxPe7s31n1M9
Warpaint,21:10 - 22:10,Primavera,03.06.22,3AmgGrYHXqgbmZ2yKoIVzO
Bikini Kill,23:20 - 00:35,Primavera,03.06.22,0gvHPdYxlU94W7V5MSIlFe
Low,01:45 - 02:55,Primavera,03.06.22,0wz0jO9anccPzH04N7FLBH
Iosonouncane,17:45 - 18:30,Pitchfork,03.06.22,1njdH9zjRnlM561mWqEocW
Chaqueta de Chandal,19:25 - 20:10,Pitchfork,03.06.22,5RMGElrEO6UepEfrrn0Qg4
Mariah The Scientist,21:05 - 21:50,Pitchfork,03.06.22,7HO5fOXE4gh3lzZn64tX2E
Helado Negro,22:45 - 23:30,Pitchfork,03.06.22,69qhRLDvsWJOhWGXXQ0lQQ
Fontaines D.C.,00:25 - 01:10,Pitchfork,03.06.22,3SXwqSqAoBz9WCI9PDQzY6
Earl Sweatshirt,02:05 - 02:50,Pitchfork,03.06.22,3A5tHz1SfngyOZM2gItYKu
Young Marco,03:45 - 05:00,Pitchfork,03.06.22,7zpN81tVvPwlHcJSkSCyRa
